[Sun Sep 15 09:02:17 UTC 2024] Smaayloo | Location: X: -1283 Y: 144 Z: -1732 | Line: 3 | 
[Sun Sep 15 09:02:20 UTC 2024] Smaayloo | Location: X: -1282 Y: 145 Z: -1732 | Line: 0 | 
[Sun Sep 15 09:02:20 UTC 2024] Smaayloo | Location: X: -1282 Y: 145 Z: -1732 | Line: 1 | 
[Sun Sep 15 09:02:20 UTC 2024] Smaayloo | Location: X: -1282 Y: 145 Z: -1732 | Line: 2 | 
[Sun Sep 15 09:02:20 UTC 2024] Smaayloo | Location: X: -1282 Y: 145 Z: -1732 | Line: 3 | 
[Sun Sep 15 09:02:26 UTC 2024] Smaayloo | Location: X: -1283 Y: 144 Z: -1731 | Line: 0 | w
[Sun Sep 15 09:02:26 UTC 2024] Smaayloo | Location: X: -1283 Y: 144 Z: -1731 | Line: 1 | 
[Sun Sep 15 09:02:26 UTC 2024] Smaayloo | Location: X: -1283 Y: 144 Z: -1731 | Line: 2 | 
[Sun Sep 15 09:02:26 UTC 2024] Smaayloo | Location: X: -1283 Y: 144 Z: -1731 | Line: 3 | 
[Sun Sep 15 09:02:45 UTC 2024] Smaayloo | Location: X: -1284 Y: 144 Z: -1731 | Line: 0 | 
[Sun Sep 15 09:02:45 UTC 2024] Smaayloo | Location: X: -1284 Y: 144 Z: -1731 | Line: 1 | 
[Sun Sep 15 09:02:45 UTC 2024] Smaayloo | Location: X: -1284 Y: 144 Z: -1731 | Line: 2 | 
[Sun Sep 15 09:02:45 UTC 2024] Smaayloo | Location: X: -1284 Y: 144 Z: -1731 | Line: 3 | 
[Sun Sep 15 09:03:03 UTC 2024] Smaayloo | Location: X: -1283 Y: 143 Z: -1731 | Line: 0 | 
[Sun Sep 15 09:03:03 UTC 2024] Smaayloo | Location: X: -1283 Y: 143 Z: -1731 | Line: 1 | 
[Sun Sep 15 09:03:03 UTC 2024] Smaayloo | Location: X: -1283 Y: 143 Z: -1731 | Line: 2 | 
[Sun Sep 15 09:03:03 UTC 2024] Smaayloo | Location: X: -1283 Y: 143 Z: -1731 | Line: 3 | 
[Sat Sep 21 06:42:50 UTC 2024] MrRavi | Location: X: -1032 Y: 92 Z: -1753 | Line: 0 | 
[Sat Sep 21 06:42:50 UTC 2024] MrRavi | Location: X: -1032 Y: 92 Z: -1753 | Line: 1 | 
[Sat Sep 21 06:42:50 UTC 2024] MrRavi | Location: X: -1032 Y: 92 Z: -1753 | Line: 2 | 
[Sat Sep 21 06:42:50 UTC 2024] MrRavi | Location: X: -1032 Y: 92 Z: -1753 | Line: 3 | 
[Sun Sep 22 03:50:42 UTC 2024] Smaayloo | Location: X: -1065 Y: 83 Z: -1800 | Line: 0 | 
[Sun Sep 22 03:50:42 UTC 2024] Smaayloo | Location: X: -1065 Y: 83 Z: -1800 | Line: 1 | 
[Sun Sep 22 03:50:42 UTC 2024] Smaayloo | Location: X: -1065 Y: 83 Z: -1800 | Line: 2 | 
[Sun Sep 22 03:50:42 UTC 2024] Smaayloo | Location: X: -1065 Y: 83 Z: -1800 | Line: 3 | 
[Sun Sep 22 03:50:43 UTC 2024] Smaayloo | Location: X: -1065 Y: 84 Z: -1800 | Line: 0 | 
[Sun Sep 22 03:50:43 UTC 2024] Smaayloo | Location: X: -1065 Y: 84 Z: -1800 | Line: 1 | 
[Sun Sep 22 03:50:43 UTC 2024] Smaayloo | Location: X: -1065 Y: 84 Z: -1800 | Line: 2 | 
[Sun Sep 22 03:50:43 UTC 2024] Smaayloo | Location: X: -1065 Y: 84 Z: -1800 | Line: 3 | 
[Sun Sep 22 04:05:14 UTC 2024] Smaayloo | Location: X: -1065 Y: 49 Z: -1795 | Line: 0 | 
[Sun Sep 22 04:05:14 UTC 2024] Smaayloo | Location: X: -1065 Y: 49 Z: -1795 | Line: 1 | 
[Sun Sep 22 04:05:14 UTC 2024] Smaayloo | Location: X: -1065 Y: 49 Z: -1795 | Line: 2 | 
[Sun Sep 22 04:05:14 UTC 2024] Smaayloo | Location: X: -1065 Y: 49 Z: -1795 | Line: 3 | 
[Sun Sep 22 04:05:14 UTC 2024] Smaayloo | Location: X: -1065 Y: 48 Z: -1795 | Line: 0 | 
[Sun Sep 22 04:05:14 UTC 2024] Smaayloo | Location: X: -1065 Y: 48 Z: -1795 | Line: 1 | 
[Sun Sep 22 04:05:14 UTC 2024] Smaayloo | Location: X: -1065 Y: 48 Z: -1795 | Line: 2 | 
[Sun Sep 22 04:05:14 UTC 2024] Smaayloo | Location: X: -1065 Y: 48 Z: -1795 | Line: 3 | 
[Sun Sep 22 04:18:58 UTC 2024] Smaayloo | Location: X: -1069 Y: 75 Z: -1794 | Line: 0 | ssss
[Sun Sep 22 04:18:58 UTC 2024] Smaayloo | Location: X: -1069 Y: 75 Z: -1794 | Line: 1 | 
[Sun Sep 22 04:18:58 UTC 2024] Smaayloo | Location: X: -1069 Y: 75 Z: -1794 | Line: 2 | 
[Sun Sep 22 04:18:58 UTC 2024] Smaayloo | Location: X: -1069 Y: 75 Z: -1794 | Line: 3 | 
[Sun Sep 22 04:37:02 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1798 | Line: 0 | ss
[Sun Sep 22 04:37:02 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1798 | Line: 1 | 
[Sun Sep 22 04:37:02 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1798 | Line: 2 | 
[Sun Sep 22 04:37:02 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1798 | Line: 3 | 
[Sun Sep 22 04:38:12 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1796 | Line: 0 | 
[Sun Sep 22 04:38:12 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1796 | Line: 1 | 
[Sun Sep 22 04:38:12 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1796 | Line: 2 | 
[Sun Sep 22 04:38:12 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1796 | Line: 3 | 
[Sun Sep 22 04:38:18 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1795 | Line: 0 | 
[Sun Sep 22 04:38:18 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1795 | Line: 1 | 
[Sun Sep 22 04:38:18 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1795 | Line: 2 | 
[Sun Sep 22 04:38:18 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1795 | Line: 3 | 
[Sun Sep 22 04:39:37 UTC 2024] Smaayloo | Location: X: -1061 Y: 75 Z: -1794 | Line: 0 | 
[Sun Sep 22 04:39:37 UTC 2024] Smaayloo | Location: X: -1061 Y: 75 Z: -1794 | Line: 1 | 
[Sun Sep 22 04:39:37 UTC 2024] Smaayloo | Location: X: -1061 Y: 75 Z: -1794 | Line: 2 | 
[Sun Sep 22 04:39:37 UTC 2024] Smaayloo | Location: X: -1061 Y: 75 Z: -1794 | Line: 3 | 
[Sun Sep 22 04:39:47 UTC 2024] Smaayloo | Location: X: -1062 Y: 75 Z: -1794 | Line: 0 | w
[Sun Sep 22 04:39:47 UTC 2024] Smaayloo | Location: X: -1062 Y: 75 Z: -1794 | Line: 1 | 
[Sun Sep 22 04:39:47 UTC 2024] Smaayloo | Location: X: -1062 Y: 75 Z: -1794 | Line: 2 | 
[Sun Sep 22 04:39:47 UTC 2024] Smaayloo | Location: X: -1062 Y: 75 Z: -1794 | Line: 3 | 
[Sun Sep 22 04:42:03 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1791 | Line: 0 | 
[Sun Sep 22 04:42:03 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1791 | Line: 1 | 
[Sun Sep 22 04:42:03 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1791 | Line: 2 | 
[Sun Sep 22 04:42:03 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1791 | Line: 3 | 
[Sun Sep 22 04:42:10 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1790 | Line: 0 | a
[Sun Sep 22 04:42:10 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1790 | Line: 1 | 
[Sun Sep 22 04:42:10 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1790 | Line: 2 | 
[Sun Sep 22 04:42:10 UTC 2024] Smaayloo | Location: X: -1065 Y: 75 Z: -1790 | Line: 3 | 
[Sun Sep 22 05:30:23 UTC 2024] Smaayloo | Location: X: -1050 Y: 96 Z: -1746 | Line: 0 | 
[Sun Sep 22 05:30:23 UTC 2024] Smaayloo | Location: X: -1050 Y: 96 Z: -1746 | Line: 1 | 
[Sun Sep 22 05:30:23 UTC 2024] Smaayloo | Location: X: -1050 Y: 96 Z: -1746 | Line: 2 | 
[Sun Sep 22 05:30:23 UTC 2024] Smaayloo | Location: X: -1050 Y: 96 Z: -1746 | Line: 3 | 
[Sun Sep 22 05:32:08 UTC 2024] Smaayloo | Location: X: -1050 Y: 96 Z: -1746 | Line: 0 | 
[Sun Sep 22 05:32:08 UTC 2024] Smaayloo | Location: X: -1050 Y: 96 Z: -1746 | Line: 1 | 
[Sun Sep 22 05:32:08 UTC 2024] Smaayloo | Location: X: -1050 Y: 96 Z: -1746 | Line: 2 | 
[Sun Sep 22 05:32:08 UTC 2024] Smaayloo | Location: X: -1050 Y: 96 Z: -1746 | Line: 3 | 
[Sun Sep 22 05:32:22 UTC 2024] Smaayloo | Location: X: -1050 Y: 96 Z: -1746 | Line: 0 | 
[Sun Sep 22 05:32:22 UTC 2024] Smaayloo | Location: X: -1050 Y: 96 Z: -1746 | Line: 1 | 
[Sun Sep 22 05:32:22 UTC 2024] Smaayloo | Location: X: -1050 Y: 96 Z: -1746 | Line: 2 | 
[Sun Sep 22 05:32:22 UTC 2024] Smaayloo | Location: X: -1050 Y: 96 Z: -1746 | Line: 3 | 
[Sun Sep 22 05:32:43 UTC 2024] Smaayloo | Location: X: -1050 Y: 96 Z: -1746 | Line: 0 | 
[Sun Sep 22 05:32:43 UTC 2024] Smaayloo | Location: X: -1050 Y: 96 Z: -1746 | Line: 1 | 
[Sun Sep 22 05:32:43 UTC 2024] Smaayloo | Location: X: -1050 Y: 96 Z: -1746 | Line: 2 | 
[Sun Sep 22 05:32:43 UTC 2024] Smaayloo | Location: X: -1050 Y: 96 Z: -1746 | Line: 3 | 
[Sun Sep 22 05:32:50 UTC 2024] Smaayloo | Location: X: -1051 Y: 94 Z: -1746 | Line: 0 | d
[Sun Sep 22 05:32:50 UTC 2024] Smaayloo | Location: X: -1051 Y: 94 Z: -1746 | Line: 1 | 
[Sun Sep 22 05:32:50 UTC 2024] Smaayloo | Location: X: -1051 Y: 94 Z: -1746 | Line: 2 | 
[Sun Sep 22 05:32:50 UTC 2024] Smaayloo | Location: X: -1051 Y: 94 Z: -1746 | Line: 3 | 
[Sun Sep 22 05:33:22 UTC 2024] Smaayloo | Location: X: -1050 Y: 95 Z: -1746 | Line: 0 | 
[Sun Sep 22 05:33:22 UTC 2024] Smaayloo | Location: X: -1050 Y: 95 Z: -1746 | Line: 1 | 
[Sun Sep 22 05:33:22 UTC 2024] Smaayloo | Location: X: -1050 Y: 95 Z: -1746 | Line: 2 | 
[Sun Sep 22 05:33:22 UTC 2024] Smaayloo | Location: X: -1050 Y: 95 Z: -1746 | Line: 3 | 
[Sun Sep 22 05:33:39 UTC 2024] Smaayloo | Location: X: -1050 Y: 95 Z: -1746 | Line: 0 | XP Farm
[Sun Sep 22 05:33:39 UTC 2024] Smaayloo | Location: X: -1050 Y: 95 Z: -1746 | Line: 1 | 
[Sun Sep 22 05:33:39 UTC 2024] Smaayloo | Location: X: -1050 Y: 95 Z: -1746 | Line: 2 | 
[Sun Sep 22 05:33:39 UTC 2024] Smaayloo | Location: X: -1050 Y: 95 Z: -1746 | Line: 3 | 
[Sun Sep 22 05:34:00 UTC 2024] Smaayloo | Location: X: -1050 Y: 95 Z: -1746 | Line: 0 | XP Farm
[Sun Sep 22 05:34:00 UTC 2024] Smaayloo | Location: X: -1050 Y: 95 Z: -1746 | Line: 1 | 
[Sun Sep 22 05:34:00 UTC 2024] Smaayloo | Location: X: -1050 Y: 95 Z: -1746 | Line: 2 | 
[Sun Sep 22 05:34:00 UTC 2024] Smaayloo | Location: X: -1050 Y: 95 Z: -1746 | Line: 3 | 
[Sun Sep 22 05:34:15 UTC 2024] Smaayloo | Location: X: -1050 Y: 95 Z: -1746 | Line: 0 | 
[Sun Sep 22 05:34:15 UTC 2024] Smaayloo | Location: X: -1050 Y: 95 Z: -1746 | Line: 1 | 
[Sun Sep 22 05:34:15 UTC 2024] Smaayloo | Location: X: -1050 Y: 95 Z: -1746 | Line: 2 | XP FARM
[Sun Sep 22 05:34:15 UTC 2024] Smaayloo | Location: X: -1050 Y: 95 Z: -1746 | Line: 3 | 
